VIN_DC ,mn:gds,mp:gds,1/(1/getData("mp:gds" ?result "dc-dc")+1/getData("mn:gds" ?result "dc-dc"))
0.000,116.5E-3,832.0E-12,832.0E-12
20.00E-3,113.0E-3,1.680E-9,1.680E-9
40.00E-3,109.2E-3,3.382E-9,3.382E-9
60.00E-3,105.4E-3,6.791E-9,6.791E-9
80.00E-3,101.3E-3,13.60E-9,13.60E-9
100.0E-3,97.05E-3,27.15E-9,27.15E-9
120.0E-3,92.64E-3,54.03E-9,54.03E-9
140.0E-3,88.04E-3,107.2E-9,107.2E-9
160.0E-3,83.26E-3,211.9E-9,211.9E-9
180.0E-3,78.31E-3,417.2E-9,417.2E-9
200.0E-3,73.19E-3,817.7E-9,817.7E-9
220.0E-3,67.92E-3,1.595E-6,1.594E-6
240.0E-3,62.51E-3,3.091E-6,3.090E-6
260.0E-3,57.00E-3,5.946E-6,5.946E-6
280.0E-3,51.43E-3,11.34E-6,11.34E-6
300.0E-3,45.85E-3,21.39E-6,21.38E-6
320.0E-3,40.34E-3,39.81E-6,39.77E-6
340.0E-3,34.96E-3,72.90E-6,72.75E-6
360.0E-3,29.82E-3,130.9E-6,130.4E-6
380.0E-3,24.99E-3,229.9E-6,227.9E-6
400.0E-3,20.58E-3,393.6E-6,386.2E-6
420.0E-3,16.63E-3,655.2E-6,630.4E-6
440.0E-3,13.20E-3,1.059E-3,980.5E-6
460.0E-3,10.29E-3,1.662E-3,1.431E-3
480.0E-3,7.875E-3,2.531E-3,1.916E-3
500.0E-3,5.925E-3,3.746E-3,2.295E-3
520.0E-3,4.379E-3,5.391E-3,2.416E-3
540.0E-3,3.175E-3,7.546E-3,2.235E-3
560.0E-3,2.254E-3,10.27E-3,1.849E-3
580.0E-3,1.562E-3,13.61E-3,1.401E-3
600.0E-3,1.054E-3,17.54E-3,993.9E-6
620.0E-3,689.0E-6,21.99E-3,668.0E-6
640.0E-3,435.7E-6,26.88E-3,428.8E-6
660.0E-3,266.3E-6,32.09E-3,264.1E-6
680.0E-3,157.3E-6,37.47E-3,156.6E-6
700.0E-3,90.06E-6,42.93E-3,89.87E-6
720.0E-3,50.17E-6,48.36E-3,50.12E-6
740.0E-3,27.31E-6,53.69E-3,27.29E-6
760.0E-3,14.59E-6,58.88E-3,14.59E-6
780.0E-3,7.680E-6,63.89E-3,7.679E-6
800.0E-3,3.996E-6,68.71E-3,3.996E-6
820.0E-3,2.061E-6,73.32E-3,2.061E-6
840.0E-3,1.056E-6,77.73E-3,1.056E-6
860.0E-3,537.7E-9,81.94E-3,537.7E-9
880.0E-3,272.7E-9,85.95E-3,272.7E-9
900.0E-3,137.8E-9,89.78E-3,137.8E-9
920.0E-3,69.43E-9,93.43E-3,69.43E-9
940.0E-3,34.89E-9,96.91E-3,34.89E-9
960.0E-3,17.49E-9,100.2E-3,17.49E-9
980.0E-3,8.750E-9,103.4E-3,8.750E-9
1.000,4.369E-9,106.5E-3,4.369E-9
